what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794640199
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794640900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794641123
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794643410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794655694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794657203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794658697
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794659337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794659757
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794661110
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794662044
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794664209
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794665550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794668880
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1421794668931
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794670631
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794671223
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794677220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794688869
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794689880
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794694031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794696042
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421794803009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421795126712
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421795248078
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1421795249261
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421795250864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421795381827
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1421795381838
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1421795384832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421795391387
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421795890607
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421795891578
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1421795892588
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1421795892917
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1421795892917
stopped,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1421795892917
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1421795892917
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1421795892918
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1421795892918
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1421795892919
